feature,importance_mean,importance_std
mom_24,0.007288709310868935,0.0015943154242032177
vol_48,0.005047781214801661,0.0003850207306396094
price_to_sma_24,0.00434551256057345,0.001681001864196508
price_to_sma_96,0.003152810503190917,0.0016620232872065657
dow_sin,0.0027611354725945113,0.002111773390474454
vol_12,0.0017398491950050277,0.0004950532708529391
macd,0.0007119442945242138,0.0008761617318532924
volume_zscore,0.0003322515925979097,0.00011788074082537578
vol_6,0.0002496465917499302,0.00021405732040262305
mom_6,0.00022204169181957444,0.0005692653643716675
dow_cos,0.00014297208409029815,0.0003865902677212831
hour_sin,0.00011677282238781173,7.140480894182783e-05
ret_lag_6,8.758207420034303e-05,5.820600009793144e-05
ret_lag_24,5.024910923816517e-05,6.288425930203857e-05
ret_lag_3,4.339457503585997e-05,3.882490265033294e-05
hour_cos,8.247066246203084e-06,8.291801189872056e-05
ret_lag_12,-3.154330820535067e-05,4.991988311582932e-05
ret_lag_1,-4.960690622501929e-05,5.5566593576300053e-05
volume_change,-5.002302756522692e-05,5.996881594466271e-05
ret_lag_2,-5.692670995731675e-05,5.7793248791528944e-05
macd_signal,-0.0002150724785078828,0.0007997114640909
hl_range,-0.00029803462286830394,0.0002659110637070523
price_to_sma_12,-0.0005407644260422395,0.0007566794341826042
rsi_14,-0.0011051429190040763,0.0006527304608960498
mom_48,-0.0012863031465589092,0.000636528925129436
mom_12,-0.0016277782161068677,0.0005176852765468554
vol_24,-0.0036239843690408337,0.0009744265296768878
price_to_sma_48,-0.0037020513536984876,0.001074726447174702
