timestamp,position,signal,prob_up,net_return,cum_log_return,equity,running_max,drawdown
2020-01-01 00:00:00,0,0,0.45130097737757696,0.0,0.0,1.0,1.0,0.0
2020-01-02 00:00:00,0,0,0.4678932743380129,0.0,0.0,1.0,1.0,0.0
2020-01-03 00:00:00,1,1,0.6455292185658917,0.050311745997627,0.050311745997627,1.0515988770222378,1.0515988770222378,0.0
2020-01-04 00:00:00,0,0,0.45777252619984826,0.0,0.050311745997627,1.0515988770222378,1.0515988770222378,0.0
2020-01-05 00:00:00,-1,-1,0.41372913453333665,-0.0017144682836669,0.0485972777139601,1.0497974887532207,1.0515988770222378,-0.0017129994224774903
2020-01-06 00:00:00,0,0,0.48055135029601737,0.0,0.0485972777139601,1.0497974887532207,1.0515988770222378,-0.0017129994224774903
2020-01-07 00:00:00,0,0,0.5007133125213831,0.0,0.0485972777139601,1.0497974887532207,1.0515988770222378,-0.0017129994224774903
2020-01-08 00:00:00,0,0,0.49437774140408114,0.0,0.0485972777139601,1.0497974887532207,1.0515988770222378,-0.0017129994224774903
2020-01-09 00:00:00,0,0,0.5478159453686503,0.0,0.0485972777139601,1.0497974887532207,1.0515988770222378,-0.0017129994224774903
2020-01-10 00:00:00,1,1,0.6698348034988724,0.0426508758626657,0.0912481535766258,1.0955408339057182,1.0955408339057182,0.0
2020-01-11 00:00:00,-1,-1,0.4222213886281,0.012312736932723299,0.10356089050934911,1.1091133257843382,1.1091133257843382,0.0
2020-01-12 00:00:00,1,1,0.581601513839158,0.010328868229502401,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-13 00:00:00,0,0,0.4801193328783908,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-14 00:00:00,0,0,0.49117049819006886,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-15 00:00:00,0,0,0.48254987370297137,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-16 00:00:00,0,0,0.5334207988164795,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-17 00:00:00,0,0,0.5467035788620179,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-18 00:00:00,0,0,0.4523838172686085,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-19 00:00:00,0,0,0.45824324392168675,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-20 00:00:00,0,0,0.5419041662020163,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-21 00:00:00,0,0,0.47873616883244274,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-22 00:00:00,0,0,0.48052339700909946,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
2020-01-23 00:00:00,0,0,0.4650249141893869,0.0,0.11388975873885152,1.120628578566547,1.120628578566547,0.0
