timestamp,position,signal,prob_up,net_return,cum_log_return,equity,running_max,drawdown,size_mult,position_sized,net_return_sized,equity_sized,running_max_sized,drawdown_sized
2020-01-01 00:00:00,0,0,0.4513009773775769,0.0,0.0,1.0,1.0,0.0,-0.09739804524484619,0.0,0.0,1.0,1.0,0.0
2020-01-02 00:00:00,0,0,0.4678932743380129,0.0,0.0,1.0,1.0,0.0,-0.06421345132397416,0.0,0.0,1.0,1.0,0.0
2020-01-03 00:00:00,1,1,0.6455292185658917,0.050311745997627,0.050311745997627,1.0515988770222378,1.0515988770222378,0.0,0.2910584371317835,0.2910584371317835,0.014643658159440577,1.0147514017995216,1.0147514017995216,0.0
2020-01-04 00:00:00,0,0,0.4577725261998482,0.0,0.050311745997627,1.0515988770222378,1.0515988770222378,0.0,-0.08445494760030359,0.0,0.0,1.0147514017995216,1.0147514017995216,0.0
2020-01-05 00:00:00,-1,-1,0.4137291345333366,-0.0017144682836669,0.0485972777139601,1.0497974887532209,1.0515988770222378,-0.0017129994224774,-0.1725417309333268,-0.1725417309333268,-0.0002958173252941769,1.014451265149002,1.0147514017995216,-0.0002957735756632385
2020-01-06 00:00:00,0,0,0.4805513502960173,0.0,0.0485972777139601,1.0497974887532209,1.0515988770222378,-0.0017129994224774,-0.03889729940796538,0.0,0.0,1.014451265149002,1.0147514017995216,-0.0002957735756632385
2020-01-07 00:00:00,0,0,0.5007133125213831,0.0,0.0485972777139601,1.0497974887532209,1.0515988770222378,-0.0017129994224774,0.0014266250427661387,0.0,0.0,1.014451265149002,1.0147514017995216,-0.0002957735756632385
2020-01-08 00:00:00,0,0,0.4943777414040811,0.0,0.0485972777139601,1.0497974887532209,1.0515988770222378,-0.0017129994224774,-0.011244517191837833,0.0,0.0,1.014451265149002,1.0147514017995216,-0.0002957735756632385
2020-01-09 00:00:00,0,0,0.5478159453686503,0.0,0.0485972777139601,1.0497974887532209,1.0515988770222378,-0.0017129994224774,0.0956318907373006,0.0,0.0,1.014451265149002,1.0147514017995216,-0.0002957735756632385
2020-01-10 00:00:00,1,1,0.6698348034988724,0.0426508758626657,0.0912481535766258,1.0955408339057182,1.0955408339057182,0.0,0.33966960699774473,0.33966960699774473,0.014487206242381256,1.029254801883055,1.029254801883055,0.0
2020-01-11 00:00:00,-1,-1,0.4222213886281,0.0123127369327232,0.1035608905093491,1.1091133257843382,1.1091133257843382,0.0,-0.15555722274380002,-0.15555722274380002,0.001915335161629436,1.0312280589164244,1.0312280589164244,0.0
2020-01-12 00:00:00,1,1,0.581601513839158,0.0103288682295024,0.1138897587388515,1.120628578566547,1.120628578566547,0.0,0.16320302767831607,0.16320302767831607,0.0016857025675451596,1.0329678686919814,1.0329678686919814,0.0
2020-01-13 00:00:00,0,0,0.4801193328783908,0.0,0.1138897587388515,1.120628578566547,1.120628578566547,0.0,-0.03976133424321837,0.0,0.0,1.0329678686919814,1.0329678686919814,0.0
2020-01-14 00:00:00,0,0,0.4911704981900688,0.0,0.1138897587388515,1.120628578566547,1.120628578566547,0.0,-0.01765900361986239,0.0,0.0,1.0329678686919814,1.0329678686919814,0.0
